Code	Indicator	Name
FO	LN		ANNIKA
FO	LY		ANNIS
FO	LN		ANNITA
FO	LN		ANNMARIE
MF	LY		ANTHONY
MO	LY		ANTIONE
FO	LN		ANTIONETTE
MO	LY		ANTOINE
FO	LN		ANTOINETTE
MO	LY		ANTON
MO	LY		ANTONE
FO	LN		ANTONETTA
FO	LN		ANTONETTE
MF	LY		ANTONIA
FO	LN		ANTONIETTA
FO	LN		ANTONINA
MF	LY		ANTONIO
MO	LY		ANTONY
MO	LN		ANTWAN
FO	LN		ANYA
FO	LN		APOLONIA
FO	LY		APRIL
FO	LN		APRYL
FO	LN		ARA
FO	LN		ARACELI
FO	LN		ARACELIS
FO	LN		ARACELY
FO	LN		ARCELIA
MO	LY		ARCHIE
FO	LN		ARDATH
FO	LN		ARDELIA
FO	LN		ARDELL
FO	LN		ARDELLA
FO	LN		ARDELLE
MO	LY		ARDEN
FO	LY		ARDIS
FO	LN		ARDITH
FO	LN		ARETHA
FO	LN		ARGELIA
FO	LN		ARGENTINA
FO	LN		ARIANA
FO	LN		ARIANE
FO	LN		ARIANNA
FO	LN		ARIANNE
FO	LN		ARICA
FO	LY		ARIE
MF	LY		ARIEL
FO	LN		ARIELLE
FO	LN		ARLA
FO	LN		ARLEAN
FO	LN		ARLEEN
MO	LY		ARLEN
FO	LN		ARLENA
FO	LN		ARLENE
FO	LN		ARLETHA
FO	LN		ARLETTA
FO	LN		ARLETTE
MO	LN		ARLIE
FO	LN		ARLINDA
FO	LY		ARLINE
FO	LN		ARLYNE
MO	LY		ARMAND
FO	LN		ARMANDA
FO	LN		ARMANDINA
MO	LY		ARMANDO
FO	LN		ARMIDA
FO	LN		ARMINDA
FO	LN		ARNETTA
FO	LY		ARNETTE
FO	LN		ARNITA
MO	LY		ARNOLD
MO	LN		ARNOLDO
MO	LN		ARNULFO
MO	LY		ARON
MO	LY		ARRON
MO	LY		ART
MF	LY		ARTHUR
FO	LN		ARTIE
MO	LY		ARTURO
FO	LN		ARVILLA
MO	LY		ASA
FO	LN		ASHA
FO	LN		ASHANTI
FO	LY		ASHELY
FO	LN		ASHLEA
FO	LN		ASHLEE
FO	LN		ASHLEIGH
MF	LY		ASHLEY
FO	LN		ASHLI
FO	LN		ASHLIE
FO	LY		ASHLY
FO	LN		ASHLYN
FO	LY		ASHTON
FO	LN		ASIA
FO	LY		ASLEY
FO	LN		ASSUNTA
FO	LN		ASTRID
FO	LY		ASUNCION
FO	LN		ATHENA
MF	LY		AUBREY
FO	LY		AUDIE
FO	LN		AUDRA
FO	LN		AUDREA
FO	LY		AUDREY
FO	LN		AUDRIA
FO	LN		AUDRIE
FO	LN		AUDRY
MO	LY		AUGUST
FO	LY		AUGUSTA
FO	LN		AUGUSTINA
MF	LY		AUGUSTINE
MO	LY		AUGUSTUS
FO	LN		AUNDREA
FO	LN		AURA
FO	LN		AUREA
FO	LY		AURELIA
MO	LY		AURELIO
FO	LY		AURORA
FO	LN		AURORE
MF	LY		AUSTIN
FO	LN		AUTUMN
FO	LN		AVA
FO	LN		AVELINA
MF	LY		AVERY
FO	LY		AVIS
FO	LY		AVRIL
FO	LN		AWILDA
FO	LN		AYAKO
FO	LN		AYANA
FO	LN		AYANNA
FO	LN		AYESHA
FO	LN		AZALEE
FO	LN		AZUCENA
FO	LN		AZZIE
FO	LN		BABARA
FO	LN		BABETTE
FO	LY		BAILEY
FO	LN		BAMBI
FO	LN		BAO
FO	LN		BARABARA
FO	LY		BARB
FO	LY		BARBAR
FO	LY		BARBARA
FO	LY		BARBERA
FO	LY		BARBIE
FO	LN		BARBRA
FO	LY		BARI
MO	LY		BARNEY
MO	LY		BARRETT
FO	LY		BARRIE
MO	LY		BARRY
MO	LY		BART
MO	LY		BARTON
MO	LY		BASIL
FO	LN		BASILIA
FO	LY		BEA
FO	LN		BEATA
FO	LY		BEATRICE
FO	LN		BEATRIS
FO	LN		BEATRIZ
MO	LY		BEAU
FO	LN		BEAULAH
FO	LN		BEBE
FO	LN		BECKI
FO	LN		BECKIE
FO	LY		BECKY
FO	LY		BEE
FO	LY		BELEN
FO	LN		BELIA
FO	LN		BELINDA
FO	LN		BELKIS
FO	LY		BELL
FO	LY		BELLA
FO	LY		BELLE
FO	LN		BELVA
MO	LY		BEN
MO	LY		BENEDICT
FO	LN		BENITA
MO	LY		BENITO
MO	LY		BENJAMIN
MO	LY		BENNETT
MF	LY		BENNIE
MO	LY		BENNY
MO	LY		BENTON
FO	LN		BERENICE
FO	LY		BERNA
FO	LY		BERNADETTE
FO	LN		BERNADINE
MO	LY		BERNARD
FO	LN		BERNARDA
FO	LN		BERNARDINA
FO	LN		BERNARDINE
MO	LY		BERNARDO
FO	LN		BERNEICE
FO	LN		BERNETTA
FO	LY		BERNICE
MF	LN		BERNIE
FO	LN		BERNIECE
FO	LN		BERNITA
MF	LY		BERRY
MO	LY		BERT
FO	LY		BERTA
FO	LY		BERTHA
FO	LY		BERTIE
MO	LY		BERTRAM
FO	LN		BERYL
FO	LY		BESS
FO	LN		BESSIE
FO	LY		BETH
FO	LN		BETHANIE
FO	LN		BETHANN
FO	LY		BETHANY
FO	LY		BETHEL
FO	LN		BETSEY
FO	LN		BETSY
FO	LN		BETTE
FO	LN		BETTIE
FO	LN		BETTINA
FO	LY		BETTY
FO	LN		BETTYANN
FO	LN		BETTYE
FO	LN		BEULA
FO	LY		BEULAH
FO	LN		BEV
FO	LN		BEVERLEE
FO	LY		BEVERLEY
FO	LY		BEVERLY
FO	LY		BIANCA
FO	LN		BIBI
MO	LY		BILL
FO	LN		BILLI
MF	LY		BILLIE
MF	LY		BILLY
FO	LN		BILLYE
FO	LN		BIRDIE
FO	LN		BIRGIT
MO	LY		BLAINE
MF	LY		BLAIR
MF	LY		BLAKE
FO	LY		BLANCA
FO	LY		BLANCH
FO	LY		BLANCHE
FO	LY		BLONDELL
FO	LY		BLOSSOM
FO	LY		BLYTHE
MO	LY		BO
MO	LY		BOB
FO	LN		BOBBI
MF	LN		BOBBIE
MF	LY		BOBBY
FO	LN		BOBBYE
FO	LN		BOBETTE
FO	LY		BOK
FO	LY		BONG
FO	LY		BONITA
FO	LY		BONNIE
FO	LY		BONNY
MO	LY		BOOKER
MO	LY		BORIS
MO	LY		BOYCE
MO	LY		BOYD
MO	LY		BRAD
MO	LY		BRADFORD
MO	LY		BRADLEY
MO	LY		BRADLY
MO	LY		BRADY
MO	LY		BRAIN
FO	LN		BRANDA
FO	LY		BRANDE
FO	LN		BRANDEE
MO	LY		BRANDEN
FO	LY		BRANDI
FO	LN		BRANDIE
MF	LY		BRANDON
FO	LY		BRANDY
MO	LY		BRANT
FO	LN		BREANA
FO	LN		BREANN
FO	LN		BREANNA
FO	LN		BREANNE
FO	LY		BREE
FO	LY		BRENDA
MO	LN		BRENDAN
MO	LY		BRENDON
FO	LY		BRENNA
MO	LY		BRENT
MO	LY		BRENTON
MO	LN		BRET
MF	LY		BRETT
MF	LY		BRIAN
FO	LN		BRIANA
FO	LN		BRIANNA
FO	LN		BRIANNE
MO	LY		BRICE
FO	LY		BRIDGET
FO	LY		BRIDGETT
FO	LY		BRIDGETTE
FO	LN		BRIGETTE
FO	LN		BRIGID
FO	LN		BRIGIDA
FO	LN		BRIGITTE
FO	LY		BRINDA
FO	LN		BRITANY
FO	LN		BRITNEY
FO	LN		BRITNI
MF	LY		BRITT
FO	LN		BRITTA
FO	LN		BRITTANEY
FO	LN		BRITTANI
FO	LN		BRITTANIE
FO	LN		BRITTANY
FO	LN		BRITTENY
FO	LN		BRITTNEY
FO	LN		BRITTNI
FO	LN		BRITTNY
MO	LY		BROCK
MO	LY		BRODERICK
FO	LN		BRONWYN
FO	LY		BROOK
FO	LY		BROOKE
MO	LY		BROOKS
MO	LY		BRUCE
FO	LY		BRUNA
FO	LN		BRUNILDA
MO	LY		BRUNO
MO	LY		BRYAN
FO	LN		BRYANNA
MO	LY		BRYANT
MO	LY		BRYCE
FO	LN		BRYNN
MO	LY		BRYON
MO	LY		BUCK
MO	LY		BUD
MO	LY		BUDDY
FO	LY		BUENA
FO	LY		BUFFY
MO	LY		BUFORD
FO	LY		BULA
FO	LN		BULAH
FO	LN		BUNNY
MO	LY		BURL
FO	LN		BURMA
MO	LY		BURT
MO	LY		BURTON
MO	LY		BUSTER
MO	LY		BYRON
FO	LN		CAITLIN
FO	LN		CAITLYN
FO	LY		CALANDRA
MO	LY		CALEB
FO	LN		CALISTA
FO	LN		CALLIE
MO	LY		CALVIN
FO	LN		CAMELIA
FO	LN		CAMELLIA
MF	LY		CAMERON
FO	LN		CAMI
FO	LN		CAMIE
FO	LN		CAMILA
FO	LN		CAMILLA
FO	LY		CAMILLE
FO	LN		CAMMIE
FO	LN		CAMMY
FO	LN		CANDACE
FO	LN		CANDANCE
FO	LY		CANDELARIA
FO	LN		CANDI
FO	LN		CANDICE
FO	LN		CANDIDA
FO	LN		CANDIE
FO	LN		CANDIS
FO	LN		CANDRA
FO	LY		CANDY
FO	LN		CANDYCE
FO	LY		CAPRICE
FO	LY		CARA
FO	LY		CAREN
MF	LY		CAREY
FO	LN		CARI
FO	LN		CARIDAD
FO	LY		CARIE
FO	LY		CARIN
FO	LY		CARINA
